iter	Passed	Remaining
402	13859	20531
403	13897	20502
404	13936	20474
405	13974	20445
406	14007	20408
407	14040	20372
408	14074	20338
409	14108	20302
410	14144	20270
411	14177	20234
412	14210	20197
413	14242	20160
414	14276	20125
415	14310	20089
416	14345	20055
417	14379	20021
418	14413	19985
419	14445	19948
420	14492	19931
421	14525	19895
422	14558	19858
423	14591	19822
424	14624	19786
425	14657	19749
426	14690	19712
427	14722	19675
428	14754	19638
429	14788	19602
430	14819	19565
431	14854	19531
432	14889	19497
433	14927	19467
434	14960	19432
435	14992	19394
436	15025	19357
437	15057	19320
438	15091	19284
439	15122	19246
440	15155	19210
441	15188	19174
442	15220	19137
443	15253	19101
444	15287	19065
445	15320	19030
446	15353	18994
447	15387	18959
448	15420	18923
449	15454	18889
450	15487	18852
451	15519	18815
452	15552	18780
453	15585	18743
454	15620	18710
455	15654	18675
456	15685	18637
457	15727	18611
458	15758	18573
459	15790	18537
460	15823	18500
461	15859	18467
462	15892	18432
463	15929	18401
464	15966	18369
465	15998	18333
466	16031	18297
467	16063	18260
468	16096	18224
469	16128	18187
470	16161	18151
471	16193	18115
472	16225	18078
473	16258	18042
474	16292	18007
475	16325	17972
476	16359	17937
477	16391	17900
478	16423	17863
479	16455	17826
480	16490	17792
481	16522	17756
482	16557	17723
483	16592	17689
484	16624	17652
485	16659	17619
486	16693	17584
487	16728	17551
488	16766	17520
489	16802	17487
490	16837	17455
491	16878	17427
492	16918	17398
493	16956	17368
494	16989	17332
495	17021	17296
496	17066	17272
497	17099	17236
498	17133	17202
499	17169	17169
500	17204	17135
501	17239	17101
502	17274	17068
503	17309	17034
504	17345	17001
505	17380	16968
506	17417	16936
507	17483	16932
508	17517	16897
509	17552	16863
510	17585	16828
511	17619	16793
512	17654	16759
513	17686	16723
514	17719	16687
515	17753	16652
516	17787	16617
517	17820	16582
518	17858	16551
519	17894	16518
520	17934	16488
521	17969	16454
522	18002	16419
523	18036	16384
524	18070	16349
525	18103	16313
526	18137	16278
527	18170	16243
528	18205	16209
529	18240	16175
530	18274	16140
531	18310	16107
532	18345	16073
533	18382	16041
534	18416	16007
535	18452	15973
536	18485	15938
537	18530	15913
538	18568	15881
539	18602	15846
540	18636	15811
541	18668	15775
542	18703	15741
543	18739	15708
544	18774	15674
545	18811	15641
546	18849	15610
547	18885	15576
548	18923	15545
549	18959	15512
550	18994	15478
551	19028	15443
552	19062	15408
553	19095	15373
554	19130	15338
555	19165	15304
556	19200	15270
557	19236	15237
558	19271	15203
559	19307	15170
560	19336	15131
561	19370	15096
562	19406	15063
563	19440	15028
564	19475	14994
565	19512	14961
566	19547	14927
567	19583	14894
568	19617	14859
569	19650	14824
570	19685	14789
571	19719	14755
572	19754	14721
573	19788	14686
574	19823	14651
575	19862	14620
576	19902	14590
577	19940	14558
578	19975	14524
579	20011	14491
580	20045	14456
581	20079	14421
582	20113	14386
583	20146	14351
584	20180	14316
585	20214	14281
586	20248	14246
587	20282	14211
588	20314	14175
589	20349	14141
590	20382	14105
591	20417	14071
592	20450	14036
593	20483	14000
594	20517	13965
595	20553	13932
596	20586	13896
597	20620	13861
598	20654	13826
599	20688	13792
600	20721	13757
601	20757	13723
602	20792	13688
603	20826	13654
604	20862	13620
605	20900	13588
606	20937	13555
607	20973	13522
608	21007	13487
609	21042	13453
610	21077	13419
611	21110	13384
612	21145	13349
613	21187	13319
614	21236	13294
615	21278	13264
616	21317	13232
617	21355	13200
618	21393	13167
619	21430	13134
620	21463	13099
621	21497	13064
622	21531	13029
623	21565	12994
624	21600	12960
625	21636	12926
626	21668	12890
627	21703	12856
628	21736	12820
629	21771	12786
630	21808	12753
631	21847	12721
632	21881	12686
633	21915	12651
634	21953	12619
635	21993	12587
636	22026	12552
637	22058	12516
638	22093	12481
639	22128	12447
640	22163	12413
641	22197	12378
642	22230	12342
643	22265	12308
644	22302	12275
645	22337	12240
646	22372	12206
647	22407	12172
648	22455	12144
649	22489	12109
650	22521	12073
651	22553	12037
652	22588	12003
653	22621	11967
654	22654	11932
655	22688	11897
656	22720	11861
657	22752	11826
658	22784	11790
659	22818	11754
660	22854	11721
661	22889	11686
662	22924	11652
663	22958	11617
664	22991	11582
665	23025	11547
666	23058	11511
667	23091	11476
668	23140	11449
669	23173	11413
670	23204	11377
671	23237	11342
672	23270	11306
673	23303	11271
674	23336	11236
675	23371	11201
676	23405	11167
677	23439	11132
678	23471	11096
679	23504	11060
680	23538	11025
681	23571	10990
682	23604	10955
683	23639	10921
684	23672	10885
685	23705	10850
686	23738	10815
687	23771	10780
688	23804	10744
689	23842	10711
690	23879	10678
691	23914	10644
692	23951	10610
693	23984	10575
694	24016	10539
695	24051	10505
696	24084	10470
697	24117	10434
698	24149	10399
699	24183	10364
700	24216	10329
701	24249	10293
702	24283	10258
703	24317	10224
704	24351	10189
705	24393	10158
706	24431	10125
707	24469	10091
708	24503	10057
709	24536	10022
710	24571	9987
711	24605	9952
712	24638	9917
713	24670	9882
714	24704	9847
715	24737	9812
716	24771	9777
717	24805	9742
718	24840	9708
719	24881	9676
720	24916	9641
721	24951	9607
722	24985	9572
723	25018	9537
724	25050	9501
725	25083	9466
726	25116	9431
727	25149	9396
728	25183	9361
729	25218	9327
730	25250	9291
731	25283	9256
732	25316	9221
733	25349	9186
734	25382	9151
735	25417	9117
736	25450	9082
737	25484	9047
738	25517	9012
739	25550	8977
740	25584	8942
741	25617	8907
742	25650	8872
743	25684	8837
744	25717	8802
745	25751	8767
746	25784	8732
747	25820	8698
748	25858	8665
749	25892	8630
750	25930	8597
751	25964	8562
752	25997	8527
753	26029	8492
754	26062	8457
755	26094	8422
756	26128	8387
757	26162	8352
758	26196	8317
759	26229	8283
760	26263	8248
761	26295	8213
762	26329	8178
763	26362	8143
764	26394	8108
765	26427	8073
766	26459	8038
767	26495	8003
768	26528	7968
769	26560	7933
770	26593	7898
771	26626	7863
772	26658	7828
773	26690	7793
774	26723	7758
775	26757	7723
776	26791	7689
777	26827	7655
778	26861	7620
779	26896	7586
780	26931	7551
781	26964	7516
782	26998	7482
783	27030	7447
784	27063	7412
785	27097	7377
786	27130	7342
787	27164	7308
788	27199	7273
789	27232	7238
790	27265	7204
791	27298	7169
792	27331	7134
793	27365	7099
794	27399	7065
795	27433	7030
796	27467	6996
797	27501	6961
798	27534	6926
799	27568	6892
800	27602	6857
801	27636	6822
802	27669	6788
803	27704	6753
804	27737	6719
805	27769	6684
806	27803	6649
807	27838	6615
808	27873	6580
809	27910	6546
810	27946	6512
811	27978	6477
812	28011	6443
813	28044	6408
814	28079	6373
815	28113	6339
816	28146	6304
817	28179	6269
818	28212	6235
819	28247	6200
820	28281	6166
821	28314	6131
822	28348	6096
823	28382	6062
824	28415	6027
825	28449	5993
826	28481	5958
827	28515	5923
828	28548	5888
829	28582	5854
830	28615	5819
831	28648	5784
832	28678	5749
833	28710	5714
834	28743	5679
835	28776	5645
836	28807	5610
837	28843	5576
838	28882	5542
839	28920	5508
840	28952	5473
841	28985	5439
842	29017	5404
843	29049	5369
844	29082	5334
845	29115	5300
846	29149	5265
847	29182	5230
848	29215	5196
849	29246	5161
850	29280	5126
851	29315	5092
852	29347	5057
853	29382	5023
854	29417	4988
855	29449	4954
856	29482	4919
857	29515	4884
858	29548	4850
859	29582	4815
860	29617	4781
861	29650	4746
862	29684	4712
863	29717	4677
864	29750	4643
865	29785	4608
866	29823	4575
867	29861	4541
868	29898	4507
869	29932	4472
870	29964	4437
871	29996	4403
872	30029	4368
873	30062	4334
874	30095	4299
875	30130	4264
876	30163	4230
877	30196	4195
878	30229	4161
879	30261	4126
880	30294	4091
881	30327	4057
882	30360	4022
883	30394	3988
884	30428	3954
885	30461	3919
886	30495	3884
887	30528	3850
888	30561	3815
889	30593	3781
890	30628	3746
891	30660	3712
892	30693	3677
893	30725	3643
894	30758	3608
895	30791	3574
896	30826	3539
897	30860	3505
898	30897	3471
899	30932	3436
900	30965	3402
901	30996	3367
902	31028	3333
903	31062	3298
904	31096	3264
905	31129	3229
906	31164	3195
907	31199	3161
908	31230	3126
909	31265	3092
910	31298	3057
911	31330	3023
912	31364	2988
913	31396	2954
914	31429	2919
915	31462	2885
916	31497	2850
917	31529	2816
918	31562	2781
919	31596	2747
920	31630	2713
921	31662	2678
922	31695	2644
923	31727	2609
924	31760	2575
925	31793	2540
926	31830	2506
927	31862	2472
928	31901	2438
929	31934	2403
930	31965	2369
931	31997	2334
932	32028	2300
933	32061	2265
934	32094	2231
935	32129	2196
936	32161	2162
937	32195	2128
938	32230	2093
939	32264	2059
940	32300	2025
941	32335	1990
942	32369	1956
943	32403	1922
944	32436	1887
945	32469	1853
946	32504	1819
947	32538	1784
948	32571	1750
949	32604	1716
950	32638	1681
951	32671	1647
952	32708	1613
953	32742	1578
954	32777	1544
955	32816	1510
956	32852	1476
957	32887	1441
958	32923	1407
959	32956	1373
960	32989	1338
961	33021	1304
962	33053	1269
963	33088	1235
964	33126	1201
965	33159	1167
966	33193	1132
967	33241	1098
968	33276	1064
969	33309	1030
970	33340	995
971	33375	961
972	33408	927
973	33438	892
974	33471	858
975	33505	823
976	33539	789
977	33576	755
978	33609	720
979	33643	686
980	33677	652
981	33711	617
982	33742	583
983	33776	549
984	33817	514
985	33853	480
986	33887	446
987	33923	412
988	33955	377
989	33989	343
990	34020	308
991	34054	274
992	34087	240
993	34120	205
994	34155	171
995	34190	137
996	34224	102
997	34259	68
998	34292	34
999	34325	0
