iter	MultiClass
129	0.3406463137
130	0.3401030837
131	0.3395859942
132	0.3381644521
133	0.3365900475
134	0.3359770558
135	0.33452217
136	0.3340199765
137	0.3330747995
138	0.3323808691
139	0.3317126368
140	0.3308012175
141	0.3298227433
142	0.3291144091
143	0.3282548308
144	0.3269931017
145	0.3260330184
146	0.3251948811
147	0.3225810685
148	0.3221226454
149	0.3208941636
150	0.3200589771
151	0.3192051163
152	0.3182000431
153	0.3163920497
154	0.3150057245
155	0.3127025187
156	0.3112708275
157	0.3105300785
158	0.3095928405
159	0.308308641
160	0.3066450118
161	0.3059132041
162	0.3047077689
163	0.3030928957
164	0.3014934919
165	0.3011846481
166	0.3000442818
167	0.2986631433
168	0.2969270093
169	0.2956707306
170	0.2944175754
171	0.2930192301
172	0.2918797364
173	0.2914124038
174	0.29075849
175	0.2899948272
176	0.2889237413
177	0.2877215408
178	0.2871965455
179	0.286641553
180	0.285483048
181	0.2845401604
182	0.2839278075
183	0.2836262902
184	0.2820699234
185	0.2809811689
186	0.2803720872
187	0.2790763776
188	0.278359268
189	0.2776231379
190	0.2764682974
191	0.2753895731
192	0.2737777047
193	0.2726897164
194	0.2712546458
195	0.2708519765
196	0.2687729846
197	0.2676394177
198	0.2664954795
199	0.2662030068
200	0.265628386
201	0.2645816243
202	0.2638635063
203	0.2629072014
204	0.2612580045
205	0.2600113653
206	0.2597369154
207	0.2585440651
208	0.2576373751
209	0.2570259042
210	0.2557061964
211	0.2551957524
212	0.2545562932
213	0.2541751818
214	0.2531947202
215	0.2523541166
216	0.2520056297
217	0.2513167731
218	0.2508290526
219	0.2506096832
220	0.2499776908
221	0.2492165482
222	0.2481879504
223	0.2471326709
224	0.2462433759
225	0.2458100764
226	0.2450807812
227	0.244942774
228	0.2446356211
229	0.2437310945
230	0.242762771
231	0.241350776
232	0.2402114527
233	0.2398434422
234	0.239272931
235	0.2389545331
236	0.2379647867
237	0.2376019709
238	0.2367998385
239	0.2364324467
240	0.2356398938
241	0.2347970259
242	0.2336702894
243	0.2334022208
244	0.2325664482
245	0.2322149763
246	0.2319021629
247	0.2311079268
248	0.2305245861
249	0.2290456854
250	0.2287399764
251	0.2277266863
252	0.2270040038
253	0.2260983451
254	0.2256423516
255	0.2246999241
256	0.2241776096
257	0.2231474535
258	0.2223831241
259	0.2217589946
260	0.2211360511
261	0.2207879167
262	0.2204062008
263	0.2202445954
264	0.2197464119
265	0.2191390525
266	0.2186811284
267	0.2181105646
268	0.217254484
269	0.2168102003
270	0.2157111531
271	0.2149740125
272	0.2144966874
273	0.2141128736
274	0.2131662904
275	0.2120400009
276	0.2111488628
277	0.2107649277
278	0.209927602
279	0.209571234
280	0.2089492763
281	0.2084546508
282	0.208109573
283	0.2072543479
284	0.2064949988
285	0.2058191513
286	0.205508279
287	0.2046301676
288	0.203951646
289	0.2030557233
290	0.2027287994
291	0.2025896241
292	0.2020340485
293	0.2013990718
294	0.201212273
295	0.2008310083
296	0.1996311739
297	0.1991152619
298	0.1984440458
299	0.1975282022
300	0.1971981965
301	0.1968925913
302	0.1963467762
303	0.1961693159
304	0.19583681
305	0.1952822318
306	0.19499466
307	0.1945806534
308	0.1938566376
309	0.1933642755
310	0.192826667
311	0.1923248514
312	0.1919288405
313	0.191591995
314	0.1914003082
315	0.1910221893
316	0.1905466523
317	0.1899452431
318	0.1894826676
319	0.1892802567
320	0.1886513849
321	0.1884107908
322	0.1879651498
323	0.1872236906
324	0.1866396374
325	0.1859624726
326	0.1856596263
327	0.1854323079
328	0.1848486792
329	0.1844691607
330	0.1837745135
331	0.1834423887
332	0.1831850598
333	0.1826635119
334	0.1823427915
335	0.1817833514
336	0.1814931875
337	0.1810663853
338	0.1802613416
339	0.1796123487
340	0.1793739542
341	0.1787988563
342	0.1785038424
343	0.1775433689
344	0.1770015288
345	0.1760745413
346	0.1754451596
347	0.1750117525
348	0.1748842801
349	0.1746663584
350	0.1744612222
351	0.1741804562
352	0.1737889165
353	0.1733258184
354	0.1728946817
355	0.1726036594
356	0.1720486379
357	0.1717176644
358	0.1711991488
359	0.1707920854
360	0.1700705788
361	0.1694544852
362	0.1689869775
363	0.168672758
364	0.1683171448
365	0.1678429018
366	0.1673791915
367	0.1670901089
368	0.1667836976
369	0.1658573753
370	0.1655545911
371	0.1652542855
372	0.1649010464
373	0.1644769438
374	0.1643364276
375	0.1636733406
376	0.1633834369
377	0.1630111398
378	0.1626001966
379	0.1620933498
380	0.1614597048
381	0.1611787647
382	0.1608349595
383	0.1600061062
384	0.1597690018
385	0.1594386614
386	0.1589756607
387	0.1586965936
388	0.15827892
389	0.1578887556
390	0.1577274378
391	0.1574493068
392	0.1572213033
393	0.1566712311
394	0.1564639199
395	0.1563094189
396	0.1562116023
397	0.1555790012
398	0.1550309566
399	0.1547452619
400	0.1545482713
401	0.1543353607
402	0.1539556649
403	0.1535164526
404	0.1531803079
405	0.1528639841
406	0.1524585105
407	0.151858191
408	0.1515896582
409	0.1512678453
410	0.1508517334
411	0.1505545196
412	0.1503231231
413	0.1499383349
414	0.1493184017
415	0.1487687681
416	0.1484957868
417	0.1480786235
418	0.1479540689
419	0.1476659638
420	0.146928212
421	0.1464933872
422	0.1462180555
423	0.1459638846
424	0.1455347375
425	0.1451121573
426	0.1448319754
427	0.1443418416
428	0.1439317085
429	0.1434321121
430	0.1432980135
431	0.1428423684
432	0.1423603472
433	0.142232838
434	0.1418696243
435	0.1416208206
436	0.1414476012
437	0.1413000205
438	0.1410955373
439	0.1408422438
440	0.1404349219
441	0.1401690631
442	0.1397897964
443	0.1392378059
444	0.1388137179
445	0.1385208975
446	0.1381792784
447	0.1380664903
448	0.1379757447
449	0.1376939364
450	0.1375333682
451	0.1373756371
452	0.1369788635
453	0.1367284538
454	0.1364840648
455	0.1363075019
456	0.1359291022
457	0.1354820741
458	0.1353262784
459	0.134625546
460	0.1340650658
461	0.1336393213
462	0.1335115891
463	0.1330471584
464	0.1326496016
465	0.1323776047
466	0.1318164385
467	0.1314336067
468	0.1310205898
469	0.130647132
470	0.1305035433
471	0.1301561491
472	0.1298655343
473	0.1295621584
474	0.1294204747
475	0.128963655
476	0.1286680181
477	0.1285796355
478	0.128433688
479	0.1281113895
480	0.1278903647
481	0.1276176089
482	0.1273280293
483	0.1269598455
484	0.1268445722
485	0.126470745
486	0.1262822739
487	0.12566005
488	0.1254996266
489	0.1252074329
490	0.1250431314
491	0.1245716654
492	0.1241367939
493	0.1237912964
494	0.1235254219
495	0.1234451211
496	0.1231471643
497	0.1228291736
498	0.1224654707
499	0.1222146532
500	0.1219899964
501	0.1216282407
502	0.1212792042
503	0.1209712497
504	0.1207774251
505	0.1205613629
506	0.1203228715
507	0.1200587218
508	0.1196551553
509	0.1194599887
510	0.1192303498
511	0.1190434312
512	0.1187571326
513	0.1185387312
514	0.1179972985
515	0.1177815421
516	0.1175660691
517	0.1173763596
518	0.1170058298
519	0.1164745394
520	0.1162184754
521	0.1160013386
522	0.1158399161
523	0.1154307795
524	0.1151059833
525	0.1148377606
526	0.1145005072
527	0.1142408173
528	0.1139800265
529	0.1138096536
530	0.1136561335
531	0.1135026195
532	0.1133603974
533	0.1130294427
534	0.1127695711
535	0.1126218738
536	0.1124238723
537	0.1122436377
538	0.1121152904
539	0.1119436894
540	0.1118496324
541	0.1115170439
542	0.1111062117
543	0.110959793
544	0.1106613954
545	0.1103946094
546	0.1099310859
547	0.1095763966
548	0.109265671
549	0.1090520268
550	0.1088734506
551	0.1088133952
552	0.1086101219
553	0.1082942778
554	0.1080115084
555	0.1078065666
556	0.1073937908
557	0.1072484859
558	0.1066088398
559	0.1064661512
560	0.1063810566
561	0.1061594654
562	0.1060683219
563	0.1057779443
564	0.1056554639
565	0.10533628
566	0.1050103321
567	0.1048755227
568	0.1047548861
569	0.1045779163
570	0.1043758007
571	0.1040931954
572	0.1038098368
573	0.103659614
574	0.1032816934
575	0.1031132096
576	0.103017239
577	0.1029246558
578	0.1026952944
579	0.1024869783
580	0.1023397643
581	0.1020260083
582	0.1018253575
583	0.1017193534
584	0.1015033238
585	0.1012463411
586	0.1010500754
587	0.1008786257
588	0.1006603853
589	0.1004566598
590	0.1002495119
591	0.09992588461
592	0.09963068311
593	0.09922723122
594	0.0990886036
595	0.09899412903
596	0.09872111818
597	0.0983629133
598	0.09826464934
599	0.09813820161
600	0.09800503072
601	0.09779463341
602	0.09753777071
603	0.09740687902
604	0.09721320504
605	0.09708084306
606	0.0969808143
607	0.09669530689
608	0.0965324202
609	0.09642500375
610	0.09622015122
611	0.09596724866
612	0.0957875524
613	0.09564068939
614	0.09532768237
615	0.09520080268
616	0.09499420603
617	0.09478657847
618	0.09467933302
619	0.09452580839
620	0.09437486303
621	0.09425042889
622	0.09406547774
623	0.0938987141
624	0.09373681359
625	0.09348588083
626	0.09339321725
627	0.09317737037
628	0.09302983397
629	0.09285556214
630	0.09261592939
631	0.09252613755
632	0.09228223001
633	0.09215308167
634	0.09193124851
635	0.09167395035
636	0.09160193787
637	0.09134088515
638	0.09107569343
639	0.09088498224
640	0.09070780523
641	0.09057532395
642	0.09041603058
643	0.09030761325
644	0.09005216827
645	0.08984405646
646	0.08973232548
647	0.08945078702
648	0.08923493274
649	0.08887639002
650	0.08871265387
651	0.08855912632
652	0.08833594109
653	0.08824893032
654	0.08805537375
655	0.08788519035
656	0.08768208121
657	0.08761530858
658	0.08751884499
659	0.08736423047
660	0.08727845471
661	0.08710139591
662	0.08694272594
663	0.08683749901
664	0.08658973655
665	0.08652775207
666	0.08641828738
667	0.08624893888
668	0.0861090929
669	0.08598912251
670	0.08588774217
671	0.08583690714
672	0.08561947696
673	0.08541153021
674	0.0850725005
675	0.08495262883
676	0.08486885531
677	0.08467745365
678	0.08460986335
679	0.0844543162
680	0.08421790256
681	0.08410892124
682	0.08390815468
683	0.08370070839
684	0.08361516178
685	0.08328037021
686	0.08320259553
687	0.08294246579
688	0.08287066065
689	0.08272289753
690	0.08264498117
691	0.08243513049
692	0.0823533114
693	0.0820680819
694	0.08201741595
695	0.08187432934
696	0.08168329814
697	0.08156777744
698	0.08137590108
699	0.08127673851
700	0.0811319855
701	0.08096254637
702	0.08082669285
703	0.0807274719
704	0.08056009395
705	0.08045280949
706	0.08035733321
707	0.08027265292
708	0.0800688452
709	0.07987747109
710	0.07977433679
711	0.07962785159
712	0.07957060858
713	0.0794362469
714	0.07921286734
715	0.0789541041
716	0.07866573547
717	0.07848249712
718	0.07829502352
719	0.07818372257
720	0.07809165971
721	0.07802614959
722	0.07778236492
723	0.07764006089
724	0.07755011068
725	0.07745929104
726	0.07733742353
727	0.07724291114
728	0.07712263297
729	0.07696150584
730	0.07685843955
731	0.07672387992
732	0.07663462392
733	0.07651561053
734	0.07633029709
735	0.07621340057
736	0.07618173328
737	0.07585195755
738	0.07568893851
739	0.07558261693
740	0.07543875537
741	0.07515351787
742	0.07493943306
743	0.07479759241
744	0.07455806948
745	0.07443391899
746	0.07431864047
747	0.07426060938
748	0.07411303084
749	0.07398755871
750	0.07386818961
751	0.07377307854
752	0.07366100893
753	0.07346082942
754	0.07336074384
755	0.07314802313
756	0.073044561
757	0.07295932309
758	0.07278704304
759	0.07268495299
760	0.07265448541
761	0.0726116776
762	0.07251219307
763	0.0723639309
764	0.07224500021
765	0.07206345378
766	0.07199535695
767	0.07193528379
768	0.07171648135
769	0.07166565341
770	0.07160254962
771	0.07149821468
772	0.07143672566
773	0.07130760234
774	0.07112997634
775	0.07099162739
776	0.07071811466
777	0.07056276733
778	0.07045708681
779	0.07029685383
780	0.07016827003
781	0.06996624116
782	0.06990941784
783	0.06970929194
784	0.06966068147
785	0.06948800144
786	0.06931512204
787	0.06915579208
788	0.06896265869
789	0.06881308353
790	0.06870351214
791	0.06858289226
792	0.06847834428
793	0.06839763332
794	0.06831137028
795	0.06823579317
796	0.06800708597
797	0.06786211917
798	0.06767126605
799	0.06755104889
800	0.06751935005
801	0.06744702668
802	0.06732837372
803	0.06717314436
804	0.06708890629
805	0.06696968344
806	0.06691423326
807	0.06670522085
808	0.06652176905
809	0.06635674852
810	0.06628924061
811	0.06619336013
812	0.06608991085
813	0.06589516253
814	0.06584587367
815	0.06572683908
816	0.06558591756
817	0.06548390422
818	0.06531492578
819	0.06521607404
820	0.06513666812
821	0.06492807585
822	0.06481292275
823	0.06462330908
824	0.06445615681
825	0.06437708752
826	0.06428246085
827	0.06421883324
828	0.06413602368
829	0.06402933442
830	0.06398089957
831	0.06393061288
832	0.06387321977
833	0.06374346408
834	0.06364475345
835	0.06355959298
836	0.06353936037
837	0.06340273294
838	0.06325678276
839	0.06306444109
840	0.06293979496
841	0.0627848242
842	0.06263359145
843	0.06258046047
844	0.06250061942
845	0.06241778795
846	0.06228601161
847	0.06212183863
848	0.06197782887
849	0.06188270145
850	0.0618231463
851	0.06173955631
852	0.06169817973
853	0.06163946462
854	0.06158585936
855	0.0615012766
856	0.06138091559
857	0.06133407819
858	0.06120113092
859	0.06103202587
860	0.06091530766
861	0.06079704569
862	0.06074500319
863	0.06066426186
864	0.06063930081
865	0.06056030966
866	0.06046101194
867	0.06029533917
868	0.06024188305
869	0.06015222765
870	0.05985619742
871	0.05980250527
872	0.05969499798
873	0.05959338735
874	0.05947694283
875	0.05938816838
876	0.05923464746
877	0.05912661338
878	0.05902376561
879	0.05896279873
880	0.05886510636
881	0.0586748887
882	0.05851544019
883	0.05844837534
884	0.05837651145
885	0.05828096422
886	0.0582027743
887	0.05808226561
888	0.05799934765
889	0.05795471205
890	0.05782936757
891	0.05777842364
892	0.05770384872
893	0.05762127215
894	0.05748150164
895	0.05735572399
896	0.05728563095
897	0.05721628423
898	0.05710165984
899	0.05698355382
900	0.05691198278
901	0.05686982336
902	0.05677833368
903	0.05670030298
904	0.05655756002
905	0.05647201249
906	0.05638530345
907	0.05633365947
908	0.05627777148
909	0.05622251915
910	0.05615845453
911	0.05611502067
912	0.05606140353
913	0.0560114987
914	0.05594385908
915	0.0558408771
916	0.05574897775
917	0.05568350719
918	0.05551943998
919	0.05549885254
920	0.05536777909
921	0.05525198213
922	0.05515113489
923	0.05513167648
924	0.05507549311
925	0.0549481625
926	0.05488134469
927	0.05480726204
928	0.05476683577
929	0.05468440713
930	0.05457541673
931	0.05450758402
932	0.05440624132
933	0.05439661119
934	0.05435868946
935	0.05431858495
936	0.05419789828
937	0.05412377172
938	0.05400978382
939	0.05394335863
940	0.05388489847
941	0.05382748279
942	0.05373742597
943	0.05366990023
944	0.05361899761
945	0.05347204524
946	0.05342026999
947	0.0533647261
948	0.05328651465
949	0.05318264275
950	0.05311592253
951	0.05300646469
952	0.05292278947
953	0.05285300356
954	0.05277693032
955	0.05271336166
956	0.0526773307
957	0.05254160823
958	0.0524826096
959	0.05241152493
960	0.05230338535
961	0.05219575016
962	0.05208076964
963	0.05201917531
964	0.05193476911
965	0.05178256736
966	0.0517686994
967	0.05170565043
968	0.05164267797
969	0.05159792405
970	0.05153577975
971	0.05144278378
972	0.0514096566
973	0.05139820254
974	0.05124335831
975	0.05115707311
976	0.05109308813
977	0.05102625947
978	0.05094805296
979	0.0508847217
980	0.05081030426
981	0.0506951291
982	0.05062466133
983	0.05052636162
984	0.05044397316
985	0.05039348752
986	0.05031403656
987	0.05026641339
988	0.05019137863
989	0.050111427
990	0.05008738453
991	0.05004915994
992	0.04997642201
993	0.04991093465
994	0.04986044481
995	0.04975460069
996	0.04972115471
997	0.04963967122
998	0.04959497734
999	0.0495492471
